termin	predlog	padezh	chastota	logDice
монета	на	Dat	2	4.9
монета	𝑛	Gen	2	4.8
монета	по	Ins	2	4.78
монета	п	Gen	2	4.67
монета	за	Gen	2	4.36
монета	без	Gen	2	3.91
монета	от	Gen	2	2.68
монета	в	Acc	2	1.39
орёл	перед	Ins	2	6.04
орёл	между	Ins	2	4.04
орёл	на	Acc	2	1.86
перебор	про	Acc	2	5.35
перебор	между	Ins	2	4.02
перебор	из	Gen	2	1.16
рис	в	Acc	2	1.34
матрица	ℝ	Gen	2	3.26
матрица	из	Acc	2	3.24
матрица	c	Ins	2	3.23
матрица	к	Gen	2	3.22
матрица	над	Ins	2	2.83
матрица	до	Gen	2	2.56
распределение	𝑥	Acc	2	3.33
распределение	посредством	Gen	2	3.31
распределение	по	Ins	2	3.28
распределение	за	Ins	2	3.19
распределение	среди	Gen	2	3.12
кость	на	Gen	2	4.1
кость	в	Gen	2	2.89
ожидание	ξ	Acc	2	5.07
ожидание	без	Gen	2	3.97
ожидание	через	Acc	2	3.92
ожидание	по	Dat	2	1.46
эксперимент	вследствие	Gen	2	5.3
эксперимент	от	Gen	2	2.76
эксперимент	на	Acc	2	1.79
отражение	𝑒	Ins	2	5.62
отражение	φ	Nom	2	5.62
отражение	вместо	Gen	2	5.07
отражение	между	Ins	2	3.84
отражение	в	Acc	2	1.43
отражение	в	Loc	2	-0.7
доля	к	Gen	2	5.1
доля	через	Acc	2	4.0
доля	над	Ins	2	3.99
доля	со	Ins	2	3.86
доля	с	Gen	2	2.5
предложение	против	Gen	2	5.42
предложение	после	Gen	2	4.62
предложение	на	Gen	2	4.09
предложение	между	Ins	2	3.86
предложение	с	Gen	2	2.57
фигура	вне	Gen	2	4.85
фигура	относительно	Gen	2	4.25
фигура	под	Ins	2	4.19
фигура	за	Acc	2	3.49
фигура	до	Gen	2	3.39
фигура	по	Dat	2	1.45
положение	вблизи	Gen	2	4.92
положение	за	Ins	2	4.58
положение	относительно	Gen	2	4.23
положение	на	Gen	2	3.81
разложение	𝑉	Gen	2	4.52
разложение	для	Loc	2	4.52
разложение	путем	Gen	2	4.5
разложение	𝑛	Gen	2	4.43
разложение	без	Gen	2	3.7
разложение	на	Gen	2	3.6
разложение	между	Ins	2	3.43
многоугольник	вне	Gen	2	5.34
многоугольник	кроме	Gen	2	5.2
многоугольник	под	Ins	2	4.47
многоугольник	через	Acc	2	4.13
многоугольник	со	Ins	2	3.99
многоугольник	от	Gen	2	2.8
многоугольник	по	Dat	2	1.49
стрелка	поверх	Gen	2	5.01
стрелка	по	Gen	2	4.62
стрелка	про	Acc	2	4.54
стрелка	к	Dat	2	2.03
куб	внутрь	Gen	2	5.41
куб	вокруг	Gen	2	5.06
куб	на	Gen	2	4.0
куб	до	Gen	2	3.51
куб	в	Gen	2	2.84
куб	с	Gen	2	2.53
кубик	про	Gen	2	5.81
кубик	по	Gen	2	5.19
кубик	среди	Gen	2	4.89
кубик	до	Gen	2	3.61
кубик	от	Gen	2	2.83
кубик	к	Dat	2	2.11
кубик	в	Loc	2	-0.7
сфера	около	Gen	2	4.9
сфера	кроме	Gen	2	4.85
сфера	до	Gen	2	3.43
частота	по	Ins	2	5.28
частота	об	Loc	2	4.7
частота	со	Ins	2	3.96
частота	в	Acc	2	1.43
частота	в	Loc	2	-0.7
исход	о	Loc	2	3.07
исход	в	Gen	2	2.8
исход	в	Acc	2	1.41
автомат	у	Gen	2	4.01
решётка	вне	Gen	2	5.29
решётка	внутри	Gen	2	5.0
ящик	через	Acc	2	4.31
ящик	с	Ins	2	1.34
триангуляция	через	Acc	2	4.47
триангуляция	у	Gen	2	4.47
триангуляция	при	Loc	2	3.2
балл	в	Gen	2	2.88
балл	от	Gen	2	2.81
балл	к	Dat	2	2.1
проблема	насчёт	Gen	1	2.82
проблема	перед	Acc	1	2.82
проблема	для	Dat	1	2.81
проблема	до	Nom	1	2.81
проблема	х	Gen	1	2.8
проблема	для	Nom	1	2.8
проблема	подобно	Dat	1	2.8
проблема	с	Nom	1	2.79
проблема	в	Dat	1	2.79
проблема	вокруг	Gen	1	2.68
проблема	про	Acc	1	2.59
проблема	относительно	Gen	1	2.43
проблема	на	Gen	1	2.18
проблема	со	Ins	1	2.14
проблема	до	Gen	1	1.88
лекция	посредством	Acc	1	2.88
лекция	перед	Gen	1	2.88
лекция	при	Acc	1	2.87
лекция	плюс	Gen	1	2.87
лекция	под	Gen	1	2.87
лекция	из	Acc	1	2.86
лекция	вне	Gen	1	2.8
лекция	вдоль	Gen	1	2.75
лекция	по	Gen	1	2.68
лекция	со	Gen	1	2.63
лекция	за	Gen	1	2.57
лекция	со	Ins	1	2.18
вид	ϕ	Gen	1	1.26
вид	п	Dat	1	1.26
вид	со	Acc	1	1.26
вид	𝑥	Acc	1	1.26
вид	ζ	Gen	1	1.26
вид	n	Gen	1	1.26
вид	𝜈	Gen	1	1.26
вид	ξ	Gen	1	1.26
вид	𝛽	Gen	1	1.26
вид	χa	Gen	1	1.26
вид	𝑉	Gen	1	1.26
вид	c	Gen	1	1.24
вид	вне	Gen	1	1.23
вид	вдоль	Gen	1	1.22
вид	кроме	Gen	1	1.22
вид	относительно	Gen	1	1.12
коэффициент	𝒙	Gen	1	2.56
коэффициент	c	Loc	1	2.55
коэффициент	из	Nom	1	2.55
коэффициент	𝑛	Ins	1	2.55
коэффициент	о	Acc	1	2.54
коэффициент	в	Nom	1	2.5
коэффициент	через	Gen	1	2.43
коэффициент	за	Ins	1	2.39
коэффициент	на	Gen	1	2.01
математик	спустя	Nom	1	2.36
математик	у	Acc	1	2.36
математик	в	Nom	1	2.31
математик	под	Acc	1	2.31
математик	против	Gen	1	2.3
математик	за	Gen	1	2.14
математик	о	Loc	1	1.4
век	сквозь	Gen	1	3.23
век	сквозь	Acc	1	3.22
век	к	Loc	1	3.18
век	в	Nom	1	3.13
век	в	Ins	1	3.0
век	со	Ins	1	2.38
век	с	Ins	1	0.2
книга	ой	Gen	1	2.25
книга	благодаря	Loc	1	2.25
книга	с	Acc	1	2.23
книга	благодаря	Dat	1	2.21
книга	вне	Gen	1	2.2
книга	кроме	Gen	1	2.16
книга	вместо	Gen	1	2.13
книга	про	Acc	1	2.09
книга	относительно	Gen	1	1.98
книга	через	Acc	1	1.82
книга	со	Ins	1	1.76
книга	между	Ins	1	1.69
сторона	х	Gen	1	2.14
сторона	с	Nom	1	2.13
сторона	под	Acc	1	2.11
пример	ради	Gen	1	1.76
пример	η	Gen	1	1.76
пример	над	Acc	1	1.76
пример	ℝ	Ins	1	1.76
пример	между	Loc	1	1.76
пример	благодаря	Dat	1	1.73
пример	по	Ins	1	1.73
пример	со	Gen	1	1.64
пример	между	Ins	1	1.34
пример	за	Acc	1	1.28
пример	до	Gen	1	1.24
тройка	позади	Gen	1	4.49
тройка	кроме	Gen	1	4.13
тройка	при	Gen	1	4.05
тройка	внутри	Gen	1	3.98
тройка	за	Gen	1	3.71
тройка	относительно	Gen	1	3.5
тройка	за	Acc	1	2.64
тройка	при	Loc	1	2.03
квадрат	минус	Nom	1	2.55
квадрат	над	Nom	1	2.55
квадрат	к	Gen	1	2.51
квадрат	𝑛	Gen	1	2.5
квадрат	вдоль	Gen	1	2.45
квадрат	со	Ins	1	1.97
квадрат	за	Acc	1	1.8
метод	вокруг	Gen	1	1.57
ответ	𝜋	Acc	1	2.44
ответ	п	Nom	1	2.43
ответ	до	Acc	1	2.43
ответ	до	Nom	1	2.43
ответ	с	Nom	1	2.42
ответ	из	Acc	1	2.42
ответ	в	Nom	1	2.38
ответ	кроме	Gen	1	2.34
ответ	через	Acc	1	1.96
ответ	о	Loc	1	1.44
ответ	с	Gen	1	1.05
вопрос	насчёт	Gen	1	2.12
вопрос	при	Ins	1	2.12
вопрос	c	Ins	1	2.1
вопрос	помимо	Gen	1	2.08
вопрос	со	Gen	1	1.97
случай	з	Gen	1	0.87
случай	м	Loc	1	0.87
случай	-	Loc	1	0.87
случай	для	Nom	1	0.86
случай	за	Acc	1	0.59
сумма	от	Acc	1	1.47
сумма	вне	Gen	1	1.44
смысл	b	Loc	1	3.26
смысл	η	Loc	1	3.26
смысл	между	Loc	1	3.26
смысл	для	Ins	1	3.25
смысл	-	Gen	1	3.17
смысл	на	Nom	1	3.17
смысл	кроме	Gen	1	3.09
смысл	за	Ins	1	3.0
смысл	про	Acc	1	2.95
смысл	согласно	Dat	1	2.94
смысл	за	Gen	1	2.88
смысл	об	Loc	1	2.87
начало	𝑒𝑛	Loc	1	2.87
начало	𝜓	Ins	1	2.87
начало	плюс	Nom	1	2.85
начало	c	Ins	1	2.83
начало	c	Gen	1	2.8
начало	вне	Gen	1	2.79
начало	через	Gen	1	2.71
начало	за	Ins	1	2.67
начало	над	Ins	1	2.25
начало	у	Gen	1	2.25
начало	со	Ins	1	2.17
шаг	между	Loc	1	2.65
параметр	k	Ins	1	3.27
параметр	b	Gen	1	3.27
параметр	ξ	Acc	1	3.27
параметр	согласно	Gen	1	3.27
параметр	п	Acc	1	3.26
параметр	c	Ins	1	3.23
параметр	в	Nom	1	3.17
параметр	вместо	Gen	1	3.03
параметр	за	Ins	1	3.01
параметр	про	Acc	1	2.97
параметр	среди	Gen	1	2.88
параметр	под	Ins	1	2.72
параметр	за	Acc	1	2.19
представление	𝜚	Acc	1	3.13
представление	𝜑	Gen	1	3.13
представление	+	Gen	1	3.12
представление	𝑓	Gen	1	3.12
представление	𝑔	Gen	1	3.12
представление	вместо	Acc	1	3.12
представление	-	Gen	1	3.05
представление	вместо	Gen	1	2.91
представление	по	Gen	1	2.9
представление	за	Ins	1	2.89
представление	со	Gen	1	2.84
представление	за	Gen	1	2.78
представление	под	Ins	1	2.62
представление	на	Gen	1	2.37
представление	за	Acc	1	2.12
представление	до	Gen	1	2.04
программа	k	Dat	1	3.23
программа	про	Loc	1	3.22
программа	о	Dat	1	3.22
программа	в	Dat	1	3.19
программа	посредством	Gen	1	3.17
программа	благодаря	Dat	1	3.15
программа	под	Acc	1	3.14
программа	-	Gen	1	3.14
программа	против	Gen	1	3.12
программа	за	Gen	1	2.85
программа	об	Loc	1	2.84
программа	по	Acc	1	2.67
программа	без	Gen	1	2.52
программа	у	Gen	1	2.48
программа	при	Loc	1	1.7
факт	п	Nom	1	3.78
факт	сверх	Gen	1	3.78
факт	поверх	Gen	1	3.77
факт	к	Nom	1	3.77
факт	c	Acc	1	3.77
факт	о	Gen	1	3.75
факт	вследствие	Gen	1	3.75
факт	ввиду	Gen	1	3.74
факт	помимо	Gen	1	3.67
факт	на	Nom	1	3.66
факт	под	Acc	1	3.66
факт	вокруг	Gen	1	3.53
факт	про	Acc	1	3.36
факт	за	Gen	1	3.26
факт	без	Gen	1	2.83
факт	со	Ins	1	2.67
следствие	п	Nom	1	4.1
следствие	к	Nom	1	4.08
следствие	при	Acc	1	4.08
следствие	о	Gen	1	4.06
следствие	ввиду	Gen	1	4.05
следствие	благодаря	Dat	1	3.97
следствие	за	Ins	1	3.67
следствие	про	Acc	1	3.6
следствие	у	Gen	1	2.94
следствие	через	Acc	1	2.94
следствие	за	Acc	1	2.52
следствие	в	Acc	1	0.4
подмножество	l	Gen	1	2.73
подмножество	з	Gen	1	2.72
подмножество	над	Nom	1	2.72
подмножество	у	Acc	1	2.72
подмножество	х	Acc	1	2.72
подмножество	с	Dat	1	2.72
подмножество	над	Gen	1	2.72
подмножество	с	Loc	1	2.71
подмножество	к	Acc	1	2.7
подмножество	с	Nom	1	2.7
подмножество	к	Gen	1	2.67
подмножество	вдоль	Gen	1	2.61
подмножество	вместо	Gen	1	2.56
подмножество	внутри	Gen	1	2.55
подмножество	относительно	Gen	1	2.36
гипотеза	наподобие	Gen	1	2.93
гипотеза	согласно	Ins	1	2.93
гипотеза	вроде	Gen	1	2.92
гипотеза	к	Loc	1	2.89
гипотеза	к	Gen	1	2.87
гипотеза	при	Gen	1	2.76
гипотеза	об	Loc	1	2.61
гипотеза	относительно	Gen	1	2.52
гипотеза	со	Ins	1	2.21
гипотеза	до	Gen	1	1.94
понятие	касательно	Gen	1	2.84
понятие	обо	Loc	1	2.84
понятие	при	Acc	1	2.83
понятие	к	Nom	1	2.83
понятие	благодаря	Dat	1	2.78
понятие	под	Acc	1	2.77
понятие	вместо	Gen	1	2.66
понятие	за	Ins	1	2.64
понятие	со	Gen	1	2.6
понятие	про	Acc	1	2.6
понятие	за	Gen	1	2.54
понятие	среди	Gen	1	2.53
понятие	относительно	Gen	1	2.45
алгоритм	𝑘	Acc	1	1.46
алгоритм	с	Nom	1	1.45
алгоритм	со	Gen	1	1.37
правило	как	Nom	1	2.62
правило	при	Acc	1	2.61
правило	ввиду	Gen	1	2.6
правило	о	Acc	1	2.6
правило	подобно	Dat	1	2.6
правило	помимо	Gen	1	2.56
сложение	𝑠	Acc	1	4.14
сложение	вроде	Gen	1	4.12
сложение	посредством	Gen	1	4.04
сложение	на	Gen	1	2.88
сложение	до	Gen	1	2.43
сложение	с	Gen	1	1.49
сложение	на	Loc	1	0.43
условие	х	Gen	1	1.88
условие	𝑉	Acc	1	1.88
условие	среди	Gen	1	1.72
условие	за	Acc	1	1.37
свойство	м	Ins	1	1.83
свойство	ê	Gen	1	1.83
свойство	𝑥	Acc	1	1.82
свойство	вместо	Gen	1	1.73
свойство	по	Gen	1	1.73
отношение	у	Acc	1	2.77
отношение	касательно	Gen	1	2.77
отношение	для	Nom	1	2.76
отношение	к	Ins	1	2.76
отношение	из	Nom	1	2.76
отношение	под	Acc	1	2.71
отношение	после	Gen	1	2.4
отношение	под	Ins	1	2.36
отношение	у	Gen	1	2.19
формулировка	у	Nom	1	4.14
формулировка	+	Gen	1	4.13
формулировка	к	Nom	1	4.13
формулировка	ради	Gen	1	4.12
формулировка	благодаря	Dat	1	4.01
формулировка	по	Ins	1	3.97
формулировка	в	Ins	1	3.75
формулировка	по	Gen	1	3.71
формулировка	про	Acc	1	3.63
формулировка	относительно	Gen	1	3.32
формулировка	со	Ins	1	2.83
формулировка	между	Ins	1	2.68
формулировка	за	Acc	1	2.53
нуль	из	Dat	1	2.54
нуль	вдоль	Acc	1	2.54
нуль	вроде	Gen	1	2.53
нуль	𝑥	Gen	1	2.53
нуль	𝑘	Gen	1	2.5
очередь	μ	Nom	1	4.25
очередь	в	Dat	1	4.17
очередь	вместо	Gen	1	3.81
очередь	на	Gen	1	2.93
материал	благодаря	Dat	1	3.87
материал	перед	Ins	1	3.82
материал	кроме	Gen	1	3.73
материал	при	Gen	1	3.67
материал	про	Acc	1	3.52
материал	среди	Gen	1	3.39
материал	у	Gen	1	2.89
материал	над	Ins	1	2.88
студент	об	Dat	1	4.35
студент	из	Dat	1	4.34
студент	для	Acc	1	4.31
студент	о	Acc	1	4.3
студент	по	Ins	1	4.15
студент	п	Gen	1	4.01
студент	за	Ins	1	3.85
студент	в	Loc	1	-1.71
курс	благодаря	Dat	1	2.83
курс	в	Nom	1	2.82
курс	кроме	Gen	1	2.76
курс	за	Ins	1	2.69
курс	без	Gen	1	2.31
курс	со	Ins	1	2.19
порядок	𝑑	Gen	1	2.07
порядок	y	Gen	1	2.07
порядок	𝑑	Acc	1	2.07
порядок	𝑘	Acc	1	2.07
порядок	п	Loc	1	2.06
порядок	к	Gen	1	2.04
порядок	над	Ins	1	1.69
ученик	помимо	Gen	1	3.95
ученик	п	Gen	1	3.81
ученик	при	Gen	1	3.75
ученик	со	Gen	1	3.58
ученик	об	Loc	1	3.46
ученик	через	Acc	1	2.93
ученик	на	Gen	1	2.86
ученик	за	Acc	1	2.52
ученик	в	Gen	1	1.78
ученик	с	Gen	1	1.48
школа	по	Nom	1	2.78
школа	перед	Ins	1	2.71
школа	против	Gen	1	2.7
школа	за	Ins	1	2.6
школа	про	Acc	1	2.56
школа	без	Gen	1	2.23
школа	через	Acc	1	2.2
школа	со	Ins	1	2.12
школа	с	Gen	1	1.17
г.	между	Acc	1	2.61
г.	к	Loc	1	2.58
г.	с	Acc	1	2.58
г.	со	Gen	1	2.4
г.	о	Loc	1	1.52
текст	у	Nom	1	3.16
текст	при	Acc	1	3.15
текст	поверх	Gen	1	3.15
текст	с	Acc	1	3.12
текст	-	Gen	1	3.08
текст	в	Nom	1	3.07
текст	перед	Ins	1	3.06
текст	вне	Gen	1	3.06
текст	кроме	Gen	1	3.01
текст	за	Ins	1	2.92
текст	про	Acc	1	2.87
текст	согласно	Dat	1	2.86
текст	за	Gen	1	2.8
текст	среди	Gen	1	2.79
текст	у	Gen	1	2.44
текст	между	Ins	1	2.24
текст	за	Acc	1	2.13
язык	𝑥	Loc	1	2.03
язык	при	Acc	1	2.03
язык	𝑛	Loc	1	2.03
язык	ради	Gen	1	2.03
язык	ф	Loc	1	2.03
язык	из	Nom	1	2.02
язык	по	Ins	1	1.99
язык	кроме	Gen	1	1.96
язык	при	Gen	1	1.94
язык	со	Ins	1	1.6
эквивалентность	ввиду	Gen	1	4.38
эквивалентность	против	Gen	1	4.2
эквивалентность	после	Gen	1	3.49
эквивалентность	под	Ins	1	3.41
эквивалентность	на	Gen	1	3.0
эквивалентность	с	Gen	1	1.53
эквивалентность	к	Dat	1	1.08
эквивалентность	на	Loc	1	0.45
эквивалентность	в	Acc	1	0.42
форма	на	Dat	1	2.28
форма	под	Ins	1	1.99
анализ	наподобие	Gen	1	2.55
анализ	по	Nom	1	2.55
анализ	по	Loc	1	2.54
анализ	c	Ins	1	2.53
анализ	помимо	Gen	1	2.5
анализ	по	Ins	1	2.49
анализ	в	Nom	1	2.49
анализ	против	Gen	1	2.48
анализ	вместо	Gen	1	2.4
анализ	согласно	Dat	1	2.35
анализ	за	Gen	1	2.31
анализ	об	Loc	1	2.3
анализ	до	Gen	1	1.74
идея	к	Nom	1	3.35
идея	о	Gen	1	3.33
идея	на	Nom	1	3.26
идея	при	Gen	1	3.14
идея	через	Gen	1	3.14
идея	со	Gen	1	3.03
идея	про	Acc	1	3.03
идея	согласно	Dat	1	3.02
идея	за	Gen	1	2.95
идея	среди	Gen	1	2.94
идея	относительно	Gen	1	2.83
идея	под	Ins	1	2.78
идея	через	Acc	1	2.56
идея	на	Gen	1	2.5
идея	со	Ins	1	2.46
идея	в	Gen	1	1.6
идея	для	Gen	1	0.11
утверждение	за	Gen	1	1.85
последовательность	из	Nom	1	1.79
последовательность	с	Acc	1	1.78
последовательность	о	Acc	1	1.78
последовательность	после	Gen	1	1.59
половина	свыше	Gen	1	3.94
половина	минус	Nom	1	3.94
половина	внутрь	Gen	1	3.93
половина	о	Gen	1	3.91
половина	вблизи	Gen	1	3.89
половина	к	Loc	1	3.88
половина	вокруг	Gen	1	3.67
половина	без	Gen	1	2.92
половина	от	Gen	1	1.69
вывод	по	Gen	1	3.48
вывод	согласно	Dat	1	3.39
вывод	об	Loc	1	3.29
вывод	после	Gen	1	3.14
вывод	за	Acc	1	2.42
рассуждение	за	Dat	1	3.85
рассуждение	к	Ins	1	3.84
рассуждение	плюс	Nom	1	3.83
рассуждение	c	Gen	1	3.72
рассуждение	вместо	Gen	1	3.51
рассуждение	относительно	Gen	1	3.15
рассуждение	после	Gen	1	3.15
рассуждение	под	Ins	1	3.09
рассуждение	над	Ins	1	2.82
рассуждение	со	Ins	1	2.7
рассуждение	между	Ins	1	2.57
рассуждение	до	Gen	1	2.33
компьютер	помимо	Gen	1	4.35
компьютер	под	Acc	1	4.33
компьютер	на	Nom	1	4.33
компьютер	по	Ins	1	4.31
компьютер	в	Nom	1	4.31
компьютер	против	Gen	1	4.28
компьютер	внутри	Gen	1	4.01
компьютер	за	Ins	1	3.98
компьютер	через	Acc	1	3.11
компьютер	со	Ins	1	2.97
компьютер	при	Loc	1	2.04
скорость	-	Loc	1	3.5
скорость	без	Loc	1	3.5
скорость	из	Loc	1	3.49
скорость	за	Loc	1	3.49
скорость	до	Nom	1	3.49
скорость	c	Nom	1	3.48
скорость	ради	Gen	1	3.47
скорость	о	Gen	1	3.47
скорость	-	Gen	1	3.39
скорость	против	Gen	1	3.36
скорость	в	Ins	1	3.23
скорость	под	Ins	1	2.87
скорость	на	Gen	1	2.58
результат	о	Dat	1	1.8
результат	для	Nom	1	1.79
результат	о	Acc	1	1.79
результат	в	Dat	1	1.79
дело	𝛼	Loc	1	2.7
дело	𝑘	Loc	1	2.7
дело	для	Loc	1	2.69
дело	к	Nom	1	2.69
дело	о	Acc	1	2.68
дело	под	Acc	1	2.64
дело	кроме	Gen	1	2.59
дело	за	Ins	1	2.52
дело	об	Loc	1	2.42
дело	после	Gen	1	2.34
закон	ввиду	Gen	1	3.05
закон	благодаря	Dat	1	3.02
закон	кроме	Gen	1	2.94
закон	со	Gen	1	2.81
закон	после	Gen	1	2.63
направление	✅	Acc	1	3.45
направление	х	Acc	1	3.44
направление	от	Loc	1	3.44
направление	из	Loc	1	3.44
направление	с	Dat	1	3.43
направление	для	Acc	1	3.42
направление	к	Loc	1	3.39
направление	вне	Gen	1	3.33
направление	про	Acc	1	3.1
направление	за	Gen	1	3.02
направление	об	Loc	1	3.01
направление	под	Ins	1	2.84
направление	без	Gen	1	2.65
направление	через	Acc	1	2.61
направление	при	Loc	1	1.77
запись	𝑁	Ins	1	3.44
запись	из	Loc	1	3.43
запись	подобно	Dat	1	3.4
запись	п	Gen	1	3.25
запись	вокруг	Gen	1	3.23
запись	со	Gen	1	3.09
запись	про	Acc	1	3.09
запись	об	Loc	1	3.0
запись	над	Ins	1	2.6
запись	на	Gen	1	2.54
запись	между	Ins	1	2.38
основание	из	Nom	1	3.77
основание	c	Ins	1	3.73
основание	по	Ins	1	3.66
основание	кроме	Gen	1	3.56
основание	вокруг	Gen	1	3.55
основание	через	Gen	1	3.51
основание	в	Ins	1	3.48
основание	по	Gen	1	3.45
основание	за	Ins	1	3.44
основание	со	Gen	1	3.37
основание	согласно	Dat	1	3.36
математика	на	Dat	1	1.4
математика	над	Nom	1	1.4
математика	об	Dat	1	1.4
математика	поверх	Gen	1	1.4
математика	из	Ins	1	1.39
математика	к	Loc	1	1.39
математика	к	Gen	1	1.38
математика	п	Gen	1	1.35
математика	вокруг	Gen	1	1.35
математика	за	Ins	1	1.33
математика	со	Gen	1	1.31
математика	у	Gen	1	1.15
автор	подобно	Dat	1	3.11
автор	перед	Ins	1	3.03
автор	про	Acc	1	2.85
автор	согласно	Dat	1	2.84
автор	по	Dat	1	0.35
автор	на	Loc	1	0.32
вариант	плюс	Nom	1	3.06
вариант	с	Acc	1	3.04
вариант	𝑛	Gen	1	3.01
вариант	кроме	Gen	1	2.93
вариант	при	Gen	1	2.9
вариант	вместо	Gen	1	2.87
вариант	согласно	Dat	1	2.8
вариант	об	Loc	1	2.73
вариант	после	Gen	1	2.63
вариант	через	Acc	1	2.39
вариант	над	Ins	1	2.39
вариант	за	Acc	1	2.09
ошибка	при	Nom	1	3.64
ошибка	для	Nom	1	3.63
ошибка	из	Acc	1	3.63
ошибка	вследствие	Gen	1	3.63
ошибка	о	Acc	1	3.62
ошибка	благодаря	Dat	1	3.56
ошибка	под	Acc	1	3.54
ошибка	против	Gen	1	3.51
ошибка	относительно	Gen	1	3.03
ошибка	на	Gen	1	2.66
ошибка	со	Ins	1	2.61
ошибка	в	Gen	1	1.68
ошибка	с	Gen	1	1.4
-	у	Loc	1	0.16
-	в	?	1	0.16
-	у	Nom	1	0.16
-	о	Gen	1	0.15
-	из	Nom	1	0.15
-	на	Nom	1	0.14
-	в	Nom	1	0.14
-	вместо	Gen	1	0.13
-	после	Gen	1	0.09
-	о	Loc	1	-0.11
-	в	Gen	1	-0.18
-	от	Gen	1	-0.19
-	по	Dat	1	-0.65
-	с	Ins	1	-0.73
-	для	Gen	1	-0.79
исследование	ы	Gen	1	2.67
исследование	от	Ins	1	2.67
исследование	ради	Gen	1	2.66
исследование	в	Dat	1	2.64
исследование	посредством	Gen	1	2.64
исследование	помимо	Gen	1	2.62
исследование	на	Nom	1	2.61
исследование	-	Gen	1	2.61
исследование	вне	Gen	1	2.6
исследование	при	Gen	1	2.53
исследование	за	Gen	1	2.41
исследование	относительно	Gen	1	2.32
исследование	без	Gen	1	2.15
информация	согласно	Gen	1	3.2
информация	посредством	Gen	1	3.15
информация	к	Gen	1	3.13
информация	помимо	Gen	1	3.12
информация	благодаря	Dat	1	3.12
информация	кроме	Gen	1	3.04
информация	через	Gen	1	3.0
информация	при	Gen	1	3.0
информация	по	Gen	1	2.96
информация	согласно	Dat	1	2.89
информация	за	Gen	1	2.83
информация	над	Ins	1	2.46
информация	от	Gen	1	1.49
информация	в	Acc	1	0.31
изменение	из	Ins	1	4.22
изменение	благодаря	Dat	1	4.14
изменение	под	Acc	1	4.11
изменение	кроме	Gen	1	3.97
изменение	при	Gen	1	3.9
изменение	про	Acc	1	3.73
изменение	по	Acc	1	3.3
изменение	о	Loc	1	2.08
предмет	𝑘	Dat	1	4.16
предмет	после	Nom	1	4.16
предмет	п	Dat	1	4.15
предмет	между	Nom	1	4.15
предмет	п	Loc	1	4.1
предмет	благодаря	Dat	1	4.01
предмет	помимо	Gen	1	4.01
предмет	вместо	Gen	1	3.74
предмет	за	Ins	1	3.71
предмет	на	Gen	1	2.89
предмет	за	Acc	1	2.54
предмет	при	Loc	1	1.96
высказывание	вопреки	Dat	1	5.3
высказывание	перед	Ins	1	4.92
высказывание	про	Acc	1	4.34
высказывание	среди	Gen	1	4.13
высказывание	после	Gen	1	3.88
высказывание	у	Gen	1	3.36
высказывание	между	Ins	1	3.01
высказывание	в	Gen	1	1.95
высказывание	на	Acc	1	0.85
название	𝔤	Gen	1	3.55
название	сверх	Gen	1	3.55
название	перед	Ins	1	3.42
название	около	Gen	1	3.38
название	про	Acc	1	3.19
название	среди	Gen	1	3.08
название	над	Ins	1	2.66
название	между	Ins	1	2.44
название	за	Acc	1	2.31
буква	напротив	Gen	1	2.8
образ	о	Ins	1	1.45
образ	от	Ins	1	1.45
образ	у	Ins	1	1.45
образ	после	Acc	1	1.45
образ	𝑥	Acc	1	1.45
образ	𝑘	Ins	1	1.45
образ	до	Ins	1	1.45
образ	п	Ins	1	1.44
образ	с	Acc	1	1.44
образ	посредством	Gen	1	1.43
образ	от	Gen	1	0.71
таблица	х	Acc	1	3.07
таблица	в	Dat	1	3.04
таблица	с	Acc	1	3.03
таблица	к	Loc	1	3.03
таблица	посредством	Gen	1	3.02
таблица	вместо	Gen	1	2.86
таблица	за	Ins	1	2.84
таблица	под	Ins	1	2.58
таблица	через	Acc	1	2.38
таблица	между	Ins	1	2.2
таблица	до	Gen	1	2.01
связь	f	Gen	1	3.16
связь	за	Loc	1	3.16
связь	вопреки	Dat	1	3.15
связь	с	Loc	1	3.15
связь	против	Gen	1	3.06
связь	при	Gen	1	2.97
связь	между	Ins	1	2.24
отображение	𝐵	Gen	1	2.2
отображение	г	Gen	1	2.2
отображение	из	Loc	1	2.2
отображение	до	Nom	1	2.2
отображение	к	Nom	1	2.2
отображение	ф	Gen	1	2.2
отображение	с	Nom	1	2.19
отображение	вблизи	Gen	1	2.18
отображение	вдоль	Gen	1	2.12
отображение	через	Acc	1	1.79
внимание	в	Dat	1	4.33
внимание	вне	Gen	1	4.19
внимание	со	Ins	1	2.93
внимание	к	Dat	1	1.08
список	𝑖	Acc	1	3.32
список	помимо	Gen	1	3.24
список	в	Nom	1	3.22
список	против	Gen	1	3.2
список	в	Ins	1	3.08
список	среди	Gen	1	2.91
список	без	Gen	1	2.57
список	за	Acc	1	2.21
список	до	Gen	1	2.12
список	на	Loc	1	0.35
отрицание	вместо	Gen	1	4.84
отрицание	про	Acc	1	4.62
отрицание	под	Ins	1	3.96
отрицание	через	Acc	1	3.5
отрицание	со	Ins	1	3.31
отрицание	за	Acc	1	2.92
отрицание	на	Acc	1	0.88
сила	ƒ	Gen	1	3.01
сила	ξ	Acc	1	3.0
